text,label
Skip to Content Open Menu Close Menu Museums Historic Museum Erie Canal Depot Print Shop Phelps General Store Alling Coverlet Museum Events About About Get Involved Directions Contact Group Tours and Rentals Paranormal Membership Shop Resources Links Online Learning Donate For Teachers 0 0 Museums Historic Museum Erie Canal Depot Print Shop Phelps General Store Alling Coverlet Museum Events About About Get Involved Directions Contact Group Tours and Rentals Paranormal Membership Shop Resources Links Online Learning Donate For Teachers 0 0 Open Menu Close Menu Folder: Museums Events Folder: About Paranormal Membership Shop Folder: Resources Back Historic Museum Erie Canal Depot Print Shop Phelps General Store Alling Coverlet Museum Back About Get Involved Directions Contact Group Tours and Rentals Back Links Online Learning Donate For Teachers Historic Palmyra Museums 5 Museums - 1 Destination “where history comes alive” Learn More Historic Palmyra 5 Museums ~ 1 Destination.,NON-EVENT
"Winter Hours: Tuesdays- Thursdays 11:00am - 4:00pm. Tours begin at 132 Market St. To schedule special dates, after hours and times, please feel free to call 315-597-6981. We're here to help you arrange what you need!",EVENT
Alling Coverlet Museum and Gift Shop 122 William St. Palmyra Palmyra Historical Museum 132 Market St. Palmyra Erie Canal Depot 136 Market St. Palmyra Palmyra Print Shop 138 Market St. Palmyra Phelps General Store 140 Market St. Palmyra Upcoming Events Apr 17,NON-EVENT
"Apr 17, 2025 Historic Palmyra Presents: The Burned Over District Apr 17, 2025 Apr 17, 2025",EVENT
May 8,NON-EVENT
"May 8, 2025 Historic Palmyra's General Election and Board meeting May 8, 2025 May 8, 2025",EVENT
May 10,NON-EVENT
"May 10, 2025 Victorian Brunch with Mother May 10, 2025 May 10, 2025",EVENT
May 22,NON-EVENT
"May 22, 2025 Under Ground Railroad Walk and Talk May 22, 2025 May 22, 2025",EVENT
Jun 7,NON-EVENT
"Jun 7, 2025 Erie Canal Walking Tour Jun 7, 2025 Jun 7, 2025",EVENT
Jun 14,NON-EVENT
"Jun 14, 2025 Ice cream Social and Father's Day Event Jun 14, 2025 Jun 14, 2025",EVENT
Jul 12,NON-EVENT
"Jul 12, 2025 – Jul 13, 2025",EVENT
Mystery at the Speakeasy,NON-EVENT
"Jul 12, 2025 – Jul 13, 2025 Jul 12, 2025 – Jul 13, 2025",EVENT
Jul 30,NON-EVENT
"Jul 30, 2025",EVENT
Igor and the Red Elvises,NON-EVENT
"Jul 30, 2025 Jul 30, 2025",EVENT
Aug 1,NON-EVENT
"Aug 1, 2025 Pirate Whitley Ghost Hunt Aug 1, 2025 Aug 1, 2025",EVENT
Aug 23,NON-EVENT
"Aug 23, 2025",EVENT
Talking Tombstones,NON-EVENT
"Aug 23, 2025 Aug 23, 2025 HISTORIC PALMYRA™ is a non-profit, 501(c)(3) organization dedicated to preserving the history and architectural heritage of Palmyra, New York.  Once known as the ""Queen of Erie Canal towns,"" Palmyra boasts an astonishing array of architecture, ranging from the early 1800's to Victorian era grandeur.",EVENT
"Historic Palmyra's mission is to save the history of Palmyra and vicinity through the preservation of architecture, artifacts, and archives. Historic Palmyra™ teaches and educates through the five museums and their collections. This mission is served primarily through the operation of five unique museums, welcoming thousands of visitors each year... Historic Palmyra 132 Market St Palmyra, NY 14522",NON-EVENT
(315) 597-6981,EVENT
Contact Us Tracy Murphy - Executive Director Our Work About Palmyra Historical Museum Erie Canal Depot Phelps General Store Print Shop Alling Coverlet Museum Take Part Events Membership Get Involved Shop Resources Links Online Learning For Teachers Follow Facebook Facebook Instagram Twitter,NON-EVENT
"©2023 Historic Palmyra, Inc. All rights reserved.",EVENT
Please read our Terms of Service and Privacy Policy . ­ ­,NON-EVENT
