text,label,score,source_url,char_len,word_len
Washington DC | Virginia | Maryland Bringing the Fun in Your Area ARTS & CRAFTS VENDOR REGISTRATION FAMILY / FUN FESTIVALS VENDOR REGISTRATION Arts & Crafts Events Photos Around The World Cultural Festival 2026 Around The World Food Vendor Registration 2025 Around The World Festival Non-Food Vendor Registration RSVP to the 2025 Around The World Festival Facebook Event Frederick Arts & Crafts Fair,NON-EVENT,0,https://chiceventsdc.com/business-networking-events-photos/,399,63
2025 Arts & Crafts Fair Vendor Registration Form,EVENT,2,https://chiceventsdc.com/business-networking-events-photos/,48,8
"National Harbor Arts & Crafts Fair 2025 Spring into Art Vendor Registration Form ~ National Harbor, MD Old Town Alexandria Arts & Crafts Fair",NON-EVENT,1,https://chiceventsdc.com/business-networking-events-photos/,141,24
2025 Old Town Alexandria Arts & Crafts Spring Fair ~ Mother’s Day Celebration,EVENT,2,https://chiceventsdc.com/business-networking-events-photos/,77,13
"Old Town Manassas Arts & Crafts Fair Silver Spring Arts & Crafts Fair 2025 Cultural Events Vendor Registration 2025 Family/ Fun Events Vendor Registration 2025 Beats, Bites and Brews in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Manassas Vendor Registration 2025 Alexandria Fall-O-Ween Vendor Registration 2025 National Harbor Christmas Market and Holiday Craft Show Vendor Registration 2025 Old Town Alexandria Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Old Town Manassas Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Silver Spring Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Woodbridge/ Stonebridge Christmas Market and Holiday Craft Show Vendor Registration",NON-EVENT,1,https://chiceventsdc.com/business-networking-events-photos/,823,116
"December 20, 2025 – Woodbridge Arts & Crafts Christmas Market Vendor Registration",EVENT,3,https://chiceventsdc.com/business-networking-events-photos/,81,12
2025 Single Event Vendor Registration 2025 Multiple Events Vendor Registration COVID-19 SAFETY ACKNOWLEDGEMENT — LIABILITY WAIVER AND RELEASE OF CLAIMS © 2025 All right reserved by Chic Events DC. Unauthorized use and/or duplication of all and any material found on this website is strictly prohibited. a division of Royal Events Group © 2020 All rights Reserved. Design by Elementor,NON-EVENT,1,https://chiceventsdc.com/business-networking-events-photos/,383,59
"Around The World Cultural Food Festival is the signature event of the International Cultural and Educational Development Fund, a 501 (c)(3) non-profit organization who supports children’s creative abilities and promotes educational development in arts, culture and humanities in order to preserve artistic and cultural heritage. First and foremost, Around the World Cultural Food Festival is the LARGEST Cultural Food Festival in the DMV area that brings together, under the same roof, dozens of countries that will share their culture and traditions! Recognition of your company through a wide range of festival branding; Inclusion of company’s name in Festival’s Program; Website Logo and Link to Sponsor’s home page. Why we need your support? The event is admission FREE and without the Festival’s Sponsors and Supporters, we would not be able to grow this event and push it to its full potential. Your sponsorship will help defray the cost of organizing the event; funds received from sponsorship are used in all aspects of producing the festival. Cash sponsorship and in-kind donations of materials, equipment, and supplies are the base and support of having this event admission free. Sponsorship of the Around the World Cultural Food Festival will be of utmost importance to the Festival, the community of DC, and the DMV area. Your Sponsorship support is needed to bring all these plans to fruition and ensure the long-term relevancy of these cultural institutions in our community. Please fill out the Sponsorship Registration Form below: Email Address (please use your best contact email address as this will be used to receive further information on event's day of logistics). Please enter your email, so we can follow up with you. Website / Facebook/ Instagram (link required - i.e. https://www.chiceventsdc.com) How did you hear about our events? Other Web Searches (please list them below) Other Participating Vendor (please provide their name below) Our Event Staff (please provide their name below) For Other Web Searches, Other Vendor and Event Staff, please list their names so we can show our appreciation Which event are you interested in attending BRONZE SPONSOR - will receive name and small logo recognition in all advertisements, website, social media. 10x10 on site space in Prime location, if desired. SILVER SPONSOR - will receive name and large logo recognition in all advertisements, website, and social media. 10x10 on site space in Prime location, next to all Food Vendors, if desired. GOLD SPONSOR will receive name and large logo recognition in all advertisements, website, and social media.  Sponsor opportunities in their choice of ONE (1) of Chic Events DC’s festivals in the DMV area. 10x10 on site Sponsor Tent in Prime location, next to all Food Vendors, if desired. Other opportunities are negotiable. DIAMOND SPONSOR will receive name and large logo recognition in all advertisements, press release, website, and social media.  Sponsor opportunities in their choice of two (2) of Chic Events DC’s festivals in the DMV area. 10x20 on site Sponsor Tent in Prime location, next to all Food Vendors, if desired. Other opportunities are negotiable. Sponsor Booth Payment (please select Vendor Booth Fee from the drop-down menu) Please select Vendor Type from the drop-down menu Bronze Sponsor, 10x10 Space - $2000 Silver Sponsor, 10x10 Space - $3,500 Gold Sponsor, 10x10 Space - $5,000 Diamond Sponsor, 10x20 Space - $10,000 Presenting Sponsor, 20x20 Space - 15,000 Additional Notes/ Requests (based on availability. An additional invoice will be sent if the requested space is available). Participation in the FACEBOOK LIVE EVENT the day of the event ($95 additional) - Vendor has the opportunity to participate in a Facebook Live Event on the Chic Events DC’s event page the day of the event directly from their booth! Vendor will be allocated up to 30 minutes to present all products they have for sale the day of the event and promote their website or online store. This service is available to vendors registered in the live event only and will be assisted by the organizer's staff present at the event. Limited number of spots available per event. Tent Rental ($255 additional - includes tent weights, set up and break down) Vendor Marketing and Promotion ($275 additional) - Vendor will be promoted on all Chic Events DC's and Around The World Festival's social media channels once a week from the time they register and pay for the Vendor Marketing services and until the event date. Please describe the products you plan on vending at the event in as much detail as possible. Upload your Logo (this image will be used to list your business on our website and on the event page) Click or drag a file to this area to upload. Total (tax included). Payment link will appear once the registration form is submitted. If payment is not submitted immediately, you will have to re-submit the Vendor Registration Form. I have read and understand the COVID-19 SAFETY ACKNOWLEDGEMENT -- LIABILITY WAIVER AND RELEASE OF CLAIMS listed in the footer of the website. By checking the box and registering for Chic Events DC's event, I acknowledge that I have read and I agree to abide by the COVID-19 SAFETY ACKNOWLEDGEMENT -- LIABILITY WAIVER AND RELEASE OF CLAIMS for listed below. I also understand that the day of the event I will be required to complete a Vendor COVID-19 Self Screening Questionnaire. Failure to complete it will result in not being allowed to participate in the event with no possibility of receiving a refund for the registration fee. Payment Method (Pay via PayPal; you can pay with your credit card if you don’t have a PayPal account). Payment link will appear once the registration form is submitted. If payment is not submitted immediately, you will have to re-submit the Vendor Registration Form. I have read, understand and agree to the Vendor Contract, Policies, Rules and Regulations listed in the footer of the website. Vendor Fees are Non-Refundable and Non-Transferable. Vendor Spaces are Not Shareable with other vendors. Please note that Chic Events DC is a division of Royal Events LLC. Charges on your credit card will appear as ""Vendor Registration Fee"" from Royal Events LLC. Thank you for your support! © 2025 All right reserved by Chic Events DC. Unauthorized use and/or duplication of all and any material found on this website without express and written permission from this website’s author and/or owner is strictly prohibited. Excerpts and links may be used only with written permission from the website’s owner, provided that full and clear credit is given to Chic Events DC with appropriate and specific direction to the original content, no exceptions.",NON-EVENT,1,https://chiceventsdc.com/2025-atw-sponsorship-opportunities/,6730,1095
RSVP to the Facebook Event Visit and RSVP to the,NON-EVENT,0,https://chiceventsdc.com/rsvp-to-the-facebook-event/,48,10
2025 Around The World Cultural Food Festival,EVENT,2,https://chiceventsdc.com/rsvp-to-the-facebook-event/,44,7
